#{"t_start": 1742909195.549024, "env_id": "CarRacing-v3"}
r,l,t
-53.23741,1000,10.111873
-45.054945,1000,21.925551
-49.494949,1000,32.686865
-47.552448,1000,43.72878
-51.890034,1000,55.9853
-46.043165,1000,66.747578
-45.736434,1000,77.460933
-38.697318,1000,88.978764
-31.29771,1000,100.833576
-50.310559,1000,112.011043
-51.428571,1000,122.965184
-48.630137,1000,133.225063
-47.540984,1000,146.233359
-53.98773,1000,157.58366
-33.098592,1000,168.351668
-65.156794,1000,179.369849
-62.328767,1000,190.644538
-72.60274,1000,201.142024
-77.04918,1000,211.160277
-64.285714,1000,220.992016
-72.789116,1000,231.736911
-60.9375,1000,242.086837
-43.573668,1000,252.2831-36.305732,1000,5849.722474
-30.769231,1000,6870.873142

-38.405797,1000,286.263495
-15.194346,1000,297.025048
-37.5,1000,307.648663
-42.028986,1000,320.157867
-60.264901,1000,331.815935
-26.739927,1000,343.763988
-5.454545,1000,354.920768
-36.842105,1000,365.89107
-76.470588,1000,378.148324
-73.214286,1000,389.413173
-28.301887,1000,400.166852
50.501672,1000,411.684574
-60.854093,1000,424.85699
-73.484848,1000,435.716448
-37.5,1000,446.324162
35.416667,1000,456.699271
32.075472,1000,468.755148
62.251656,1000,477.591879
74.917492,1000,487.986481
55.642023,1000,498.253899
-32.475884,1000,509.480229
112.355212,1000,519.801848
138.461538,1000,530.182827
55.797101,1000,540.632994
29.251701,1000,552.241083
120.216606,1000,563.178932
125.589226,1000,573.993606
41.221374,1000,584.061413
76.470588,1000,595.718388
135.474006,1000,606.816964
141.496599,1000,617.644494
238.461538,1000,628.33085
141.007194,1000,639.377871
-23.84106,1000,650.179872
208.243728,1000,747.941608
71.717172,1000,758.470908
283.211679,1000,1407.599268
51.624549,1000,1418.063532
64.983165,1000,1428.187696
334.083601,1000,1462.831686
450.185874,1000,1474.461858
325.675676,1000,1485.692038
255.345912,1000,1495.973568
275.426621,1000,1506.330967
240.0,1000,1517.017223
476.271186,1000,1528.267322
170.758123,1000,1538.791394
191.803279,1000,1548.863055
521.818182,1000,1558.870229
476.388889,1000,1569.653318
415.254237,1000,1580.180251
453.191489,1000,1590.310866
494.405594,1000,1600.975548
362.837838,1000,1611.758809
298.69281,1000,1622.02237
490.277778,1000,1632.591471
232.278481,1000,1642.833573
409.868421,1000,1653.89387
308.783784,1000,1664.745638
475.757576,1000,1675.024938
841.860465,1000,1683.107163
554.411765,1000,1693.860143
260.38961,1000,1704.415759
75.62724,1000,1714.535357
450.724638,1000,1724.886885
405.050505,1000,1735.832263
220.872274,1000,1746.311
771.595331,1000,1756.586835
669.503546,1000,1766.698095
505.960265,1000,1777.287647
714.814815,1000,1787.928514
677.04918,1000,1798.400964
324.137931,1000,1808.715027
501.328904,1000,1819.601148
582.142857,1000,1829.945623
615.719064,1000,1840.404837
468.253968,1000,1851.038741
879.253112,1000,1861.013661
517.021277,1000,1871.974186
183.687943,1000,1882.036805
565.540541,1000,1892.412467
835.849057,1000,1902.734735
385.294118,1000,1914.246623
403.448276,1000,1924.671762
662.068966,1000,1935.155387
663.157895,1000,1945.552685
570.37037,1000,1956.184156
309.375,1000,1966.617383
320.138889,1000,1977.1151
663.250883,1000,1987.380963
700.738007,1000,1998.234414
633.81295,1000,2008.522796
664.912281,1000,2019.128465
603.225806,1000,2029.479268
488.447653,1000,2040.334136
470.342205,1000,2050.54486
299.390244,1000,2060.977326
394.845361,1000,2071.222483
415.151515,1000,2082.224702
368.309859,1000,2092.38299
638.00738,1000,2102.621132
676.223776,1000,2112.943777
473.943662,1000,2121.345897
387.421384,1000,2131.708106
520.689655,1000,2141.728007
430.612245,1000,2152.094984
831.654676,1000,2162.661964
610.963455,1000,2173.161151
472.390572,1000,2183.622753
585.314685,1000,2194.069846
166.475645,1000,2204.879592
891.416309,1000,2215.141907
485.034014,1000,2225.646509
859.259259,1000,2236.055428
853.736655,1000,2246.838725
209.148265,1000,2257.604297
677.070064,1000,2268.110704
714.685315,1000,2278.679701
811.032028,1000,2289.611333
142.718447,1000,2300.293401
650.0,1000,2310.919531
682.312925,1000,2321.388551
823.371648,1000,2332.27565
768.217054,1000,2342.86288
396.575342,1000,2353.200016
277.697842,1000,2363.147754
265.625,1000,2373.763749
279.661017,1000,2384.979891
810.299003,1000,2396.324777
154.143646,1000,2407.235761
564.42953,1000,2418.795972
239.160839,1000,2430.83738
713.504823,1000,2441.718468
651.655629,1000,2452.817947
129.836455,512,2457.242601
180.356522,567,2464.47681
383.660131,1000,2476.152243
-26.829268,1000,2486.708196
14.186851,1000,2497.09343
26.01626,1000,2507.422468
121.875,1000,2518.744782
198.611111,1000,2529.425384
135.66879,1000,2539.962548
71.102662,1000,2550.044736
27.147766,1000,2560.846101
132.919255,1000,2571.178335
170.27027,1000,2581.822985
109.726444,1000,2593.00931
46.964856,1000,2604.516022
267.213115,1000,2613.126394
52.542373,1000,2623.563548
749.829352,1000,2633.957842
477.702703,1000,2644.561301
232.167832,1000,2655.382625
232.167832,1000,2666.395496
811.347518,1000,2676.906386
253.333333,1000,2687.648697
258.974359,1000,2699.083921
411.551155,1000,2710.32784
340.273038,1000,2721.038732
337.984496,1000,2731.712074
272.8223,1000,2742.473275
228.267477,1000,2753.142977
139.64497,1000,2763.777954
241.37931,1000,2774.46466
229.305136,1000,2785.153402
269.00369,1000,2795.965866
380.825959,1000,2806.920183
166.447368,1000,2818.257731
59.021407,1000,2828.97179
169.624573,1000,2839.31494
-64.157706,1000,2849.877844
65.413534,1000,2859.935309
-74.683544,1000,2870.870171
-79.452055,1000,2881.271401
137.931034,1000,2891.964822
187.197232,1000,2903.085071
196.187683,1000,2914.349598
36.507937,1000,2925.563712
136.842105,1000,2936.209724
163.157895,1000,2946.418514
135.66879,1000,2957.814931
263.984674,1000,2968.323044
225.949367,1000,2978.714727
421.276596,1000,2989.281644
452.287582,1000,3000.505764
240.501792,1000,3011.298798
718.897638,1000,3021.713916
370.948012,1000,3032.412067
333.544304,1000,3043.552291
543.333333,1000,3054.696621
230.935252,1000,3065.025825
803.345725,1000,3073.596361
583.274021,1000,3084.453221
392.481203,1000,3094.702047
682.918149,1000,3105.119959
842.084942,1000,3115.348419
524.521073,1000,3126.401226
124.334601,1000,3137.150192
130.483271,1000,3147.630092
276.383764,1000,3157.979521
179.536364,842,3167.504416
108.754209,1000,3178.059459
473.033708,1000,3188.488152
453.054662,1000,3199.592048
231.288344,1000,3210.46722
246.801347,1000,3221.155102
353.074434,1000,3231.640105
456.390977,1000,3242.102548
343.181818,1000,3252.668773
319.795222,1000,3263.669067
510.932476,1000,3274.384378
246.153846,1000,3285.259459
475.471698,1000,3297.124591
192.253521,1000,3308.53157
361.538462,1000,3319.364053
330.81761,1000,3330.503334
282.116393,770,3339.545152
389.130435,1000,3351.037217
302.125899,656,3356.875814
685.714286,1000,3367.392974
348.630137,1000,3377.863473
427.508091,1000,3389.123066
118.856322,686,3397.220173
249.823322,1000,3407.688679
90.625,1000,3418.38483
258.108108,1000,3429.598834
35.761589,1000,3440.817915
-20.9,460,3444.726282
163.345196,1000,3455.292246
281.107492,1000,3465.965246
192.145783,694,3474.236909
691.139241,1000,3485.854752
355.197133,1000,3496.657887
244.69697,1000,3507.300676
37.809187,1000,3517.732413
186.219081,1000,3528.924335
358.598726,1000,3539.931986
682.142857,1000,3550.820832
117.105263,1000,3561.531862
23.778502,1000,3573.129494
32.29572,1000,3581.375538
16.438356,1000,3591.648814
214.079422,1000,3602.124141
245.381526,1000,3613.054016
100.704225,1000,3623.865231
170.462633,1000,3634.904175
110.714286,1000,3646.022185
517.363344,1000,3657.635725
276.996805,1000,3668.912494
534.551495,1000,3680.012426
340.273038,1000,3690.882142
841.391941,1000,3702.933788
577.316294,1000,3714.024486
589.138577,1000,3725.014019
869.811321,1000,3735.954683
16.86962,288,3738.482892
578.96679,1000,3750.787827
536.029412,1000,3761.671041
616.56051,1000,3772.375605
435.494212,884,3782.196502
781.72043,1000,3792.987677
571.875,1000,3803.650874
66.051661,1000,3813.748785
183.687943,1000,3824.185
664.705882,1000,3835.24376
493.155894,1000,3845.887338
84.027778,1000,3856.217725
893.150685,1000,3866.510607
462.068966,1000,3877.375234
325.605536,1000,3888.050733
863.414634,1000,3898.323477
573.992674,1000,3909.310496
923.1,769,3918.316564
856.363636,1000,3930.259031
767.857143,1000,3941.293191
162.311111,989,3951.661348
705.555556,1000,3962.519185
857.854406,1000,3973.455242
836.619718,1000,3984.047668
557.039711,1000,3994.39339
92.028986,1000,4004.96804
698.586572,1000,4013.666993
884.615385,1000,4024.35399
585.810811,1000,4034.757403
913.2,868,4043.99186
747.305389,1000,4055.994621
347.457627,1000,4066.871523
889.051095,1000,4077.406992
151.533742,1000,4088.247124
53.333333,1000,4099.082477
55.477032,1000,4109.752237
156.410256,1000,4120.166018
779.003559,1000,4130.480141
490.322581,1000,4141.908453
778.787879,1000,4152.851181
204.075235,1000,4163.970883
765.942029,1000,4174.49443
398.220641,1000,4185.332224
389.51049,1000,4196.554427
588.644689,1000,4207.38445
88.311688,1000,4217.738801
39.784946,1000,4228.133658
670.588235,1000,4239.739893
321.052632,1000,4250.022232
353.23741,1000,4260.595589
296.551724,1000,4270.879087
231.189711,1000,4281.926946
527.831715,1000,4292.73813
885.714286,1000,4303.126964
869.798658,1000,4313.719518
593.158621,897,4323.864983
514.649682,1000,4335.031325
616.59919,1000,4345.761645
430.405405,1000,4356.573341
379.020979,1000,4365.432878
358.333333,1000,4376.176942
820.948617,1000,4386.846246
689.473684,1000,4397.504143
94.100637,767,4406.775795
503.571429,1000,4417.867649
296.666667,1000,4428.867894
776.760563,1000,4439.706535
846.969697,1000,4450.45565
212.328767,1000,4461.441641
24.756151,520,4468.290133
244.173442,1000,4479.595146
106.642066,1000,4490.720593
180.593289,685,4497.285218
513.114754,1000,4508.475744
849.152542,1000,4519.4577
213.368731,954,4529.652012
280.503145,1000,4540.6028
498.639456,1000,4551.625863
316.382253,1000,4561.895865
585.823755,1000,4572.78524
256.20915,1000,4584.001767
277.358491,1000,4595.574765
552.027027,1000,4607.230407
594.736842,1000,4617.692153
497.269625,1000,4628.076632
329.296797,797,4637.54897
214.984709,1000,4648.203466
871.929825,1000,4658.735252
385.049834,1000,4669.436345
809.090909,1000,4681.13281
344.444444,1000,4691.780465
492.145015,1000,4700.207041
302.985075,1000,4710.914649
856.666667,1000,4722.229586
815.492958,1000,4733.015546
323.197492,1000,4743.772876
114.797232,725,4752.153526
382.993197,1000,4762.992757
381.099656,1000,4773.739734
46.981979,828,4782.731864
79.930796,1000,4792.913505
468.345324,1000,4803.075278
750.533808,1000,4814.100846
761.538462,1000,4824.267861
702.120141,1000,4834.807877
322.442244,1000,4845.019169
279.87013,1000,4855.845712
271.024735,1000,4866.371031
298.026316,1000,4876.639515
701.470588,1000,4887.06752
77.700348,1000,4897.860302
357.564576,1000,4908.323979
455.555556,1000,4918.846578
609.969789,1000,4929.467013
674.193548,1000,4940.343344
512.426036,1000,4948.999181
631.927711,1000,4959.626581
398.412698,1000,4970.177562
863.265306,1000,4980.702007
362.068966,1000,4991.185417
350.657895,1000,5001.774142
378.431373,1000,5011.895551
495.930233,1000,5023.05239
631.51751,1000,5033.598688
650.0,1000,5044.03281
29.449838,1000,5054.174838
780.701754,1000,5064.934637
214.465409,1000,5075.584702
234.482759,1000,5085.93546
414.792899,1000,5096.379057
309.375,1000,5107.427749
643.333333,1000,5117.996659
186.604361,1000,5128.415026
866.165414,1000,5138.78896
667.123288,1000,5149.514807
746.441948,1000,5160.048838
646.666667,1000,5170.757456
850.381679,1000,5181.074615
830.0,1000,5191.695207
676.666667,1000,5202.626591
620.394737,1000,5213.301877
860.573477,1000,5223.61898
796.193772,1000,5233.830999
320.560748,1000,5245.014545
853.177258,1000,5255.348783
812.052117,1000,5265.742119
825.925926,1000,5275.952471
17.909091,931,5286.120666
832.258065,1000,5296.650788
354.237288,1000,5306.874124
816.058394,1000,5316.941801
274.58194,1000,5327.42133
164.42381,452,5331.231779
803.125,1000,5341.494712
303.066667,637,5348.477204
158.650804,437,5352.028169
265.208197,644,5359.117834
602.422145,1000,5370.265951
638.095238,1000,5380.630441
780.769231,1000,5390.690124
171.357413,442,5394.212435
364.968153,1000,5404.500969
545.522388,1000,5415.34728
670.034843,1000,5425.413748
130.0,1000,5435.18985
386.577181,1000,5445.330961
751.612903,1000,5457.027236
